question,answer
What are the symptoms of fever?,"Fever is a rise in body temperature, often with headache, chills, and fatigue."
What are the symptoms of cold?,"Cold usually causes sneezing, runny nose, sore throat, and mild fatigue."
What are the symptoms of dehydration?,"Dehydration can cause dry mouth, dizziness, low urine output, and weakness."
How to stay healthy?,"Eat balanced meals, drink plenty of water, exercise regularly, and get enough sleep."
What causes headache?,"Headaches can be caused by stress, dehydration, poor sleep, or illness."
What are the symptoms of flu?,"Flu can cause fever, cough, sore throat, body aches, and fatigue."
How to treat a minor burn?,"Run the burn under cool water, cover with a clean bandage, and avoid popping blisters."
What are the symptoms of allergy?,"Allergies can cause sneezing, itchy eyes, runny nose, and skin rashes."
What are the symptoms of asthma?,"Asthma can cause shortness of breath, wheezing, chest tightness, and coughing."
How to improve immunity?,"Eat nutritious foods, exercise regularly, sleep well, and manage stress."
What are the symptoms of diabetes?,"Diabetes can cause frequent urination, excessive thirst, fatigue, and blurred vision."
How to manage diabetes?,"Monitor blood sugar, eat a balanced diet, exercise regularly, and follow doctor advice."
What are the symptoms of high blood pressure?,"High blood pressure often has no symptoms, but can include headaches, dizziness, and nosebleeds."
How to reduce high blood pressure?,"Eat less salt, exercise regularly, manage stress, and follow doctor recommendations."
What are the symptoms of heart attack?,"Chest pain, shortness of breath, nausea, sweating, and pain in arm or jaw."
How to prevent heart disease?,"Maintain healthy diet, exercise, avoid smoking, and manage stress."
What are the symptoms of stroke?,"Sudden weakness, facial drooping, slurred speech, and difficulty walking."
How to prevent stroke?,"Control blood pressure, eat healthy, exercise, avoid smoking, and monitor cholesterol."
What are the symptoms of anxiety?,"Restlessness, rapid heartbeat, sweating, and feeling of dread."
How to manage anxiety?,"Practice relaxation techniques, exercise, get enough sleep, and consult a therapist."
What are the symptoms of depression?,"Persistent sadness, loss of interest, fatigue, and changes in sleep or appetite."
How to manage depression?,"Seek therapy, maintain social connections, exercise, and follow doctor’s advice."
What are the symptoms of migraine?,"Severe headache, nausea, vomiting, sensitivity to light and sound."
How to manage migraine?,"Rest in a dark room, stay hydrated, take prescribed medications, and avoid triggers."
What are the symptoms of infection?,"Fever, chills, fatigue, body aches, and sometimes rash or inflammation."
How to prevent infection?,"Wash hands regularly, avoid contact with sick people, and keep wounds clean."
What are the symptoms of urinary tract infection (UTI)?,"Painful urination, frequent urination, cloudy or strong-smelling urine."
How to prevent UTI?,"Drink plenty of water, practice good hygiene, and urinate after intercourse."
What are the symptoms of pneumonia?,"Cough, fever, chills, shortness of breath, and chest pain."
How to prevent pneumonia?,"Get vaccinated, wash hands, avoid smoking, and maintain good hygiene."
What are the symptoms of tuberculosis (TB)?,"Persistent cough, weight loss, night sweats, fever, and fatigue."
How to prevent TB?,"Vaccination, proper ventilation, avoid close contact with infected people."
What are the symptoms of kidney stones?,"Severe pain in back or side, blood in urine, nausea, and vomiting."
How to prevent kidney stones?,"Drink plenty of water, limit salt and oxalate-rich foods, maintain healthy weight."
What are the symptoms of liver disease?,"Jaundice (yellow skin/eyes), fatigue, nausea, and abdominal pain."
How to maintain liver health?,"Avoid excessive alcohol, eat a balanced diet, and get regular checkups."
What are the symptoms of anemia?,"Fatigue, weakness, pale skin, shortness of breath, and dizziness."
How to prevent anemia?,"Eat iron-rich foods, take supplements if needed, and treat underlying conditions."
What are the symptoms of arthritis?,"Joint pain, stiffness, swelling, and reduced range of motion."
How to manage arthritis?,"Exercise, maintain healthy weight, take medications as prescribed, and physical therapy."
What are the symptoms of osteoporosis?,"Bone pain, fractures from minor falls, and loss of height over time."
How to prevent osteoporosis?,"Eat calcium-rich foods, exercise regularly, avoid smoking and excessive alcohol."
What are the symptoms of asthma attack?,"Shortness of breath, wheezing, coughing, and tight chest."
How to manage asthma?,"Use inhaler as prescribed, avoid triggers, and follow asthma action plan."
What are the symptoms of allergy to peanuts?,"Hives, swelling, difficulty breathing, and anaphylaxis in severe cases."
How to prevent peanut allergy reaction?,"Avoid peanuts, read labels carefully, and carry epinephrine if prescribed."
What are the symptoms of eczema?,"Itchy, red, and inflamed skin patches."
How to manage eczema?,"Moisturize skin, avoid triggers, and use medications prescribed by a doctor."
What are the symptoms of sleep apnea?,"Loud snoring, pauses in breathing, daytime fatigue, and morning headaches."
How to manage sleep apnea?,"Use CPAP machine if prescribed, maintain healthy weight, and sleep on side."
